Year,Disaster,Occurences
1900,Storm,1
1900,Flood,1
1900,Volcanic activity,1
1900,Earthquake,1
1900,Drought,2
1900,Total,6
1901,Earthquake,1
1901,Total,1
1902,Volcanic activity,5
1902,Storm,1
1902,Earthquake,4
1902,Total,10
1903,Flood,2
1903,Earthquake,5
1903,Storm,2
1903,Volcanic activity,1
1903,Drought,1
1903,Total,11
1904,Storm,1
1904,Earthquake,3
1904,Total,4
1905,Earthquake,5
1905,Storm,1
1905,Total,6
1907,Earthquake,3
1907,Total,3
1906,Earthquake,6
1906,Storm,3
1906,Volcanic activity,1
1906,Flood,2
1906,Drought,1
1906,Total,13
1908,Earthquake,2
1908,Total,2
1909,Storm,5
1909,Earthquake,8
1909,Flood,1
1909,Total,14
1910,Storm,1
1910,Earthquake,4
1910,Flood,1
1910,Drought,9
1910,Total,15
1911,Volcanic activity,1
1911,Flood,1
1911,Storm,2
1911,Wildfire,1
1911,Earthquake,5
1911,Total,10
1912,Storm,5
1912,Earthquake,1
1912,Total,6
1913,Storm,1
1913,Earthquake,4
1913,Total,5
1914,Storm,1
1914,Volcanic activity,1
1914,Earthquake,6
1914,Total,8
1915,Earthquake,3
1915,Storm,2
1915,Flood,1
1915,Total,6
1916,Storm,1
1916,Earthquake,2
1916,Total,3
1917,Earthquake,4
1917,Storm,2
1917,Flood,1
1917,Total,7
1918,Storm,1
1918,Wildfire,1
1918,Earthquake,3
1918,Total,5
1919,Volcanic activity,1
1919,Storm,2
1919,Drought,1
1919,Total,4
1920,Flood,1
1920,Earthquake,5
1920,Storm,1
1920,Drought,2
1920,Total,9
1921,Drought,1
1921,Total,1
1922,Earthquake,3
1922,Storm,2
1922,Wildfire,1
1922,Total,6
1923,Storm,6
1923,Earthquake,6
1923,Total,12
1924,Storm,2
1924,Earthquake,6
1924,Total,8
1925,Storm,3
1925,Earthquake,8
1925,Flood,1
1925,Total,12
1926,Flood,3
1926,Storm,7
1926,Earthquake,1
1926,Volcanic activity,1
1926,Total,12
1927,Earthquake,4
1927,Flood,2
1927,Storm,4
1927,Total,10
1928,Earthquake,7
1928,Storm,7
1928,Flood,2
1928,Drought,1
1928,Total,17
1929,Wildfire,1
1929,Storm,2
1929,Earthquake,2
1929,Total,5
1930,Volcanic activity,1
1930,Earthquake,15
1930,Storm,4
1930,Total,20
1931,Earthquake,6
1931,Storm,4
1931,Flood,1
1931,Volcanic activity,1
1931,Drought,1
1931,Total,13
1932,Storm,5
1932,Earthquake,6
1932,Total,11
1933,Earthquake,5
1933,Flood,2
1933,Storm,3
1933,Drought,1
1933,Total,11
1934,Earthquake,3
1934,Storm,4
1934,Total,7
1935,Earthquake,7
1935,Storm,7
1935,Flood,1
1935,Total,15
1936,Flood,1
1936,Storm,5
1936,Extreme temperature,2
1936,Earthquake,11
1936,Total,19
1937,Flood,2
1937,Volcanic activity,1
1937,Storm,3
1937,Earthquake,3
1937,Total,9
1938,Earthquake,2
1938,Storm,2
1938,Flood,2
1938,Total,6
1939,Earthquake,7
1939,Storm,2
1939,Flood,2
1939,Wildfire,1
1939,Total,12
1940,Earthquake,7
1940,Storm,3
1940,Flood,1
1940,Drought,9
1940,Total,20
1941,Storm,4
1941,Earthquake,8
1941,Total,12
1942,Earthquake,8
1942,Storm,3
1942,Drought,1
1942,Total,12
